customer_name,customer_id,day,month,value
c_14,id_14,4,2,-10.85
c_4,id_4,11,10,6.12
c_4,id_4,7,11,6.49
c_3,id_3,12,11,10.18
c_13,id_13,19,3,-9.4
c_14,id_14,1,11,12.4
c_14,id_14,21,3,-11.71
c_2,id_2,7,1,-6.64
c_1,id_1,4,5,9.06
c_15,id_15,8,3,-11.28
c_9,id_9,18,10,-14.63
c_7,id_7,14,2,8.92
c_6,id_6,24,10,4.48
c_3,id_3,6,2,6.64
c_14,id_14,12,8,4.92
c_8,id_8,19,8,12.04
c_14,id_14,23,8,6.94
c_10,id_10,16,12,10.02
c_15,id_15,20,7,5.86
c_5,id_5,28,2,0.31
c_5,id_5,23,7,-6.12
c_12,id_12,22,11,-6.98
c_2,id_2,20,2,4.68
c_10,id_10,4,1,11.07
c_5,id_5,7,11,-13.44
c_5,id_5,1,2,5.31
c_13,id_13,12,4,7.92
c_2,id_2,26,8,-10.51
c_15,id_15,7,7,11.41
c_6,id_6,22,1,6.18
c_14,id_14,27,5,1.17
c_14,id_14,26,12,14.52
c_7,id_7,1,2,4.12
c_4,id_4,22,1,7.46
c_1,id_1,27,3,6.95
c_5,id_5,14,12,14.09
c_5,id_5,10,5,-12.66
c_8,id_8,13,3,2.62
c_2,id_2,22,6,2.6
c_9,id_9,4,8,1.86
c_6,id_6,13,4,-10.41
c_12,id_12,13,6,10.16
c_5,id_5,12,12,3.22
c_12,id_12,6,11,-5.45
c_9,id_9,18,6,-4.4
c_15,id_15,19,9,-4.16
c_12,id_12,18,10,-10.25
c_9,id_9,14,3,-10.08
c_7,id_7,11,6,-0.45
c_14,id_14,10,1,-11.12
