customer_name,customer_id,day,month,value
c_5,id_5,15.0,7.0,3.62
c_9,id_9,16.0,4.0,-4.43
c_5,id_5,26.0,8.0,9.51
c_6,id_6,25.0,4.0,10.44
c_11,id_11,25.0,10.0,-6.04
c_3,id_3,23.0,3.0,11.16
c_3,id_3,26.0,6.0,11.48
c_15,id_15,21.0,4.0,10.08
c_3,id_3,10.0,8.0,-3.33
c_7,id_7,10.0,5.0,3.51
c_5,id_5,22.0,2.0,0.82
c_7,id_7,10.0,5.0,3.87
c_8,id_8,1.0,8.0,4.28
c_10,id_10,11.0,3.0,12.77
c_11,id_11,11.0,12.0,5.69
c_3,id_3,14.0,7.0,13.69
c_8,id_8,7.0,9.0,-7.4
c_10,id_10,14.0,4.0,5.18
c_7,id_7,2.0,9.0,0.29
c_14,id_14,23.0,1.0,13.27
c_8,id_8,5.0,9.0,14.49
c_15,id_15,12.0,10.0,12.68
c_12,id_12,23.0,6.0,4.16
c_2,id_2,1.0,5.0,-8.07
c_12,id_12,26.0,9.0,0.6
c_5,id_5,20.0,4.0,8.42
c_11,id_11,1.0,3.0,13.24
c_2,id_2,26.0,3.0,-10.96
c_6,id_6,6.0,5.0,-4.11
c_13,id_13,20.0,10.0,9.2
c_14,id_14,13.0,3.0,12.31
c_1,id_1,12.0,3.0,12.64
c_2,id_2,5.0,5.0,-7.53
c_1,id_1,10.0,2.0,4.5
c_8,id_8,2.0,11.0,8.02
c_9,id_9,17.0,10.0,12.85
c_5,id_5,24.0,4.0,6.48
c_14,id_14,23.0,12.0,-2.1
c_1,id_1,11.0,10.0,-10.78
c_11,id_11,27.0,7.0,-13.07
c_5,id_5,19.0,12.0,4.27
c_2,id_2,4.0,6.0,3.45
c_14,id_14,18.0,11.0,-11.82
c_8,id_8,27.0,3.0,-4.41
c_11,id_11,20.0,9.0,-1.21
c_2,id_2,14.0,10.0,10.06
c_11,id_11,23.0,5.0,10.87
c_4,id_4,26.0,5.0,10.94
c_14,id_14,28.0,11.0,-6.78
c_11,id_11,7.0,7.0,11.21
c_5,id_5,15.0,7.0,3.62
c_9,id_9,16.0,4.0,
c_5,id_5,26.0,8.0,9.51
c_6,,25.0,4.0,10.44
c_11,id_11,25.0,10.0,-6.04
c_3,,23.0,3.0,11.16
c_3,id_3,,6.0,11.48
c_15,id_15,21.0,4.0,10.08
c_3,id_3,10.0,8.0,
c_7,id_7,10.0,5.0,3.51
c_5,id_5,22.0,2.0,0.82
c_7,id_7,10.0,5.0,3.87
c_8,id_8,1.0,8.0,4.28
c_10,,11.0,3.0,12.77
c_11,id_11,11.0,12.0,5.69
c_3,,14.0,7.0,13.69
c_8,id_8,,9.0,-7.4
c_10,id_10,14.0,4.0,5.18
c_7,,2.0,9.0,0.29
c_14,id_14,23.0,1.0,13.27
c_8,id_8,5.0,9.0,14.49
c_15,id_15,12.0,10.0,12.68
,id_12,23.0,6.0,4.16
c_2,id_2,,5.0,-8.07
c_12,id_12,26.0,9.0,0.6
c_5,id_5,20.0,4.0,8.42
c_11,id_11,1.0,,13.24
c_2,id_2,26.0,3.0,-10.96
c_6,id_6,6.0,5.0,-4.11
c_13,,20.0,10.0,9.2
c_14,id_14,13.0,3.0,12.31
c_1,id_1,12.0,3.0,12.64
c_2,id_2,5.0,5.0,-7.53
c_1,id_1,10.0,2.0,4.5
,id_8,2.0,11.0,8.02
c_9,id_9,,10.0,12.85
c_5,id_5,24.0,4.0,
c_14,id_14,23.0,12.0,-2.1
c_1,id_1,11.0,10.0,-10.78
c_11,id_11,,7.0,-13.07
c_5,id_5,19.0,,4.27
c_2,id_2,4.0,6.0,3.45
c_14,id_14,18.0,,-11.82
c_8,id_8,27.0,3.0,-4.41
c_11,id_11,20.0,,-1.21
c_2,id_2,14.0,10.0,10.06
c_11,id_11,,5.0,10.87
,id_4,26.0,5.0,
c_14,id_14,28.0,11.0,-6.78
c_11,,7.0,7.0,
